Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
9084403,89815,Richard Diaz,Steve5@gmail.com,3221780424,019 Ross Burg Suite 949,Portsmouth,England,80499,UK,26,Male,Low,Regular,2/26/2024,2024,February,2:31:09,3,291.4024205,874.2072614,Books,Random House,Fiction,Excellent,Standard,Cash,Shipped,4,Literary fiction
1355949,21174,Brianna Williamson,Madison34@gmail.com,5550789854,1800 Richard Loop,Portsmouth,England,23513,UK,20,Male,Low,Regular,2/26/2024,2024,February,17:36:57,4,284.6393973,1138.557589,Home Decor,IKEA,Furniture,Average,Same-Day,Cash,Pending,2,Dining table
8494271,92562,Michael Williams,Danny35@gmail.com,1919716347,21670 Stanley Falls,Portsmouth,England,27598,UK,21,Female,Medium,Regular,2/26/2024,2024,February,22:11:45,8,196.6913244,1573.530595,Books,HarperCollins,Non-Fiction,Good,Express,PayPal,Pending,4,Memoir
8492214,94680,Kimberly Taylor,Laurie48@gmail.com,5439599877,49334 Hinton Mission Suite 718,Portsmouth,England,63618,UK,21,Female,Medium,Regular,2/26/2024,2024,February,20:15:57,4,367.9643181,1471.857272,Grocery,Nestle,Coffee,Bad,Express,Debit Card,Pending,1,Macchiato
8089399,19874,Robert Johnson,Phillip33@gmail.com,4922927413,00488 Harrison Camp Apt. 442,Portsmouth,England,57985,UK,21,Male,Medium,Regular,2/26/2024,2024,February,7:02:06,1,347.1499062,347.1499062,Home Decor,Bed Bath & Beyond,Bedding,Good,Express,Cash,Shipped,4,Comforter
9025956,24700,Sheila Cunningham,Sheila84@gmail.com,7857422626,576 Patton Junctions Apt. 059,Portsmouth,England,42179,UK,21,Female,Medium,Regular,2/26/2024,2024,February,21:15:10,8,359.2486838,2873.989471,Clothing,Zara,Shirt,Average,Express,Credit Card,Shipped,2,Polo shirt
8065138,30949,Jesse Maxwell,Shannon69@gmail.com,3488077152,9175 Stephanie Centers Suite 403,Portsmouth,England,1209,UK,21,Male,Medium,Regular,2/26/2024,2024,February,14:47:13,4,438.6270561,1754.508224,Clothing,Zara,Jeans,Bad,Express,PayPal,Shipped,1,Wide-leg jeans
1110286,99928,Christopher Sanchez,Bryan98@gmail.com,6130638845,662 Molly Square Apt. 206,Portsmouth,England,5154,UK,21,Male,Medium,Regular,2/26/2024,2024,February,16:44:58,3,48.08085787,144.2425736,Grocery,Nestle,Snacks,Good,Standard,PayPal,Delivered,4,Cheese snacks
4681732,67776,Mr. Christopher Ramirez,Kristen15@gmail.com,8414214033,031 Olivia Station Suite 373,Portsmouth,England,59586,UK,21,Female,Medium,Regular,2/26/2024,2024,February,1:12:45,6,83.0818731,498.4912386,Clothing,Adidas,T-shirt,Excellent,Standard,PayPal,Delivered,5,Long-sleeve tee
5689515,44556,Monique Crawford,Rose19@gmail.com,6717866659,0187 Aaron Wells,Portsmouth,England,39537,UK,24,Female,Medium,Regular,2/26/2024,2024,February,7:15:30,1,308.9604128,308.9604128,Electronics,Sony,Headphones,Excellent,Express,PayPal,Pending,5,Wireless headphones
5727479,10557,Susan Friedman,Kayla78@gmail.com,2116873690,247 Murphy Route Suite 251,Portsmouth,England,2337,UK,24,Female,Medium,Regular,2/26/2024,2024,February,1:08:11,3,451.6357645,1354.907293,Books,HarperCollins,Non-Fiction,Average,Same-Day,PayPal,Shipped,2,Psychology
7697516,62551,Mark Lin,Christina44@gmail.com,2724527821,1971 Thomas Fall,Portsmouth,England,671,UK,24,Male,Medium,Regular,2/26/2024,2024,February,0:07:09,5,99.78739752,498.9369876,Electronics,Apple,Smartphone,Bad,Express,Debit Card,Pending,1,Motorola Moto
7218529,36097,Tami Ramirez,Tricia67@gmail.com,7592823960,6404 Thomas Tunnel Suite 306,Portsmouth,England,60289,UK,24,Male,Medium,Regular,2/26/2024,2024,February,10:28:50,4,73.21957263,292.8782905,Books,Random House,Literature,Average,Express,PayPal,Pending,2,Non-fiction literature
